"geometry"
"POINT(16.371662891697607 59.40388342350176)"
"POINT(16.592828121679027 59.428050047504286)"
"POINT(16.30211670214351 59.34865491453834)"
"POINT(16.58696119776467 59.403643383731335)"
"POINT(16.61438595961341 59.34882145895734)"
"POINT(16.635868645946548 59.397879262293074)"
"POINT(16.483308105038393 59.35076499875609)"
"POINT(16.531808459201933 59.34295938142206)"
"POINT(16.537800769441684 59.39210634970162)"
"POINT(16.501893921122363 59.3481161040938)"
"POINT(16.34033955812611 59.40453384950733)"
"POINT(16.403891650011822 59.41338891477567)"
"POINT(16.5683140402519 59.4010168783247)"
"POINT(16.556064076129157 59.38246102391068)"
"POINT(16.4524997503451 59.41730696042322)"
"POINT(16.330015713577016 59.384517024231855)"
"POINT(16.544024664612497 59.387977793545964)"
"POINT(16.566537577668495 59.408989283189364)"
"POINT(16.33400287264404 59.38079051090089)"
"POINT(16.324795209077557 59.34674364644112)"
"POINT(16.56193246489449 59.391192922984374)"
"POINT(16.45619402249412 59.41224253058324)"
"POINT(16.39170664330745 59.35781841863585)"
"POINT(16.55338537865447 59.433613293693085)"
"POINT(16.363041546504622 59.34526124892456)"
"POINT(16.542295715886684 59.34716653204939)"
"POINT(16.647216774256535 59.345883360448184)"
"POINT(16.648385329769006 59.38696815092237)"
"POINT(16.491045365657246 59.39597482997441)"
"POINT(16.302851939827093 59.37704571620919)"
"POINT(16.349717676132006 59.38446642776442)"
"POINT(16.519667274450097 59.42105913718584)"
"POINT(16.415740871017107 59.37206017740061)"
"POINT(16.38594112774616 59.43318204528605)"
"POINT(16.37685146009947 59.4324298856825)"
"POINT(16.607461704402898 59.39138669092326)"
"POINT(16.643055072378278 59.424532805945624)"
"POINT(16.599018107605627 59.40595979035106)"
"POINT(16.641985565057063 59.379313750957024)"
"POINT(16.429731737351357 59.36590572761021)"
"POINT(16.539174766708516 59.360753640046106)"
"POINT(16.466899143838383 59.39560327786497)"
"POINT(16.479028631236773 59.35680321930349)"
"POINT(16.453964953381984 59.38630478622747)"
"POINT(16.531573490911615 59.43156053337499)"
"POINT(16.50260957925108 59.35987085898756)"
"POINT(16.58703433500574 59.371569315478524)"
"POINT(16.404920394536298 59.39992197522891)"
"POINT(16.633566079451345 59.364758529512564)"
"POINT(16.353331234760176 59.36147154154232)"
"POINT(16.65213225582692 59.34166522818451)"
"POINT(16.324523819012974 59.38001867095831)"
"POINT(16.34310565738059 59.4141761234343)"
"POINT(16.472070269339355 59.36917758708323)"
"POINT(16.37199332896912 59.42627870097501)"
"POINT(16.366506515809476 59.416534033854816)"
"POINT(16.576990536195133 59.42921331233221)"
"POINT(16.57807421556896 59.339913099182326)"
"POINT(16.620725546148353 59.37080120878029)"
"POINT(16.308969177029592 59.4319463501635)"
"POINT(16.360019373458233 59.43676243294027)"
"POINT(16.51027574944671 59.40394275664076)"
"POINT(16.467778789627605 59.43729896877754)"
"POINT(16.37534966654159 59.39320805317102)"
"POINT(16.382036837614923 59.38089003115487)"
"POINT(16.51475497885453 59.40923458110294)"
"POINT(16.619266660975285 59.42506866976441)"
"POINT(16.305399182809754 59.37512671576827)"
"POINT(16.584951052023996 59.33640271631218)"
"POINT(16.55370590675899 59.40127011048371)"
"POINT(16.653809692687528 59.43585253583599)"
"POINT(16.54085650027617 59.39870894071972)"
"POINT(16.443379759231846 59.43919652174309)"
"POINT(16.37085718692533 59.42315955981055)"
"POINT(16.623083797367205 59.3717889783405)"
"POINT(16.647862960868448 59.349248329394314)"
"POINT(16.60412550945647 59.39576900881951)"
"POINT(16.374946298726577 59.427438885408144)"
"POINT(16.404018866424092 59.4039228400156)"
"POINT(16.49563172759961 59.34267390805126)"
"POINT(16.441285071021856 59.37451773050323)"
"POINT(16.524204967925662 59.37936725192457)"
"POINT(16.404855382009284 59.38404155312232)"
"POINT(16.467505562820524 59.39048653640547)"
"POINT(16.3404693507163 59.374241664376825)"
"POINT(16.584434074876903 59.35583676397563)"
"POINT(16.622669954686316 59.39072528102402)"
"POINT(16.542381025883767 59.342757272580684)"
"POINT(16.653306174280726 59.36544666614721)"
"POINT(16.525432705901412 59.345159671829016)"
"POINT(16.396725137716533 59.345691434276596)"
"POINT(16.632826868801118 59.36769472210369)"
"POINT(16.48412255877147 59.42689665544433)"
"POINT(16.65325710294911 59.391193124697416)"
"POINT(16.441764280255367 59.4350119960568)"
"POINT(16.61055395253619 59.34911721315509)"
"POINT(16.52668646253365 59.39262323619328)"
"POINT(16.572554676671874 59.34785230606924)"
"POINT(16.632003512218876 59.36822645651511)"
"POINT(16.53960464841244 59.4363185779393)"
"POINT(16.601030232756404 59.3523656765419)"
"POINT(16.405675808678552 59.3811522121335)"
"POINT(16.333903469890938 59.394395778277605)"
"POINT(16.664019484629613 59.43663891057997)"
"POINT(16.316261929300175 59.39514351022527)"
"POINT(16.36997385918049 59.361110536577755)"
"POINT(16.491732580872206 59.414448220328026)"
"POINT(16.4689509415642 59.3359853576908)"
"POINT(16.32864107700611 59.36746633410835)"
"POINT(16.55816884404745 59.37898620394463)"
"POINT(16.471557939248175 59.36377251139599)"
"POINT(16.54145490764016 59.38334161550993)"
"POINT(16.45425159823463 59.417536638023016)"
"POINT(16.550152989410048 59.38210486645333)"
"POINT(16.4184900468458 59.36237226045033)"
"POINT(16.433786099407577 59.42383105285213)"
"POINT(16.491735707340364 59.35963995574348)"
"POINT(16.580376143009154 59.34206834033567)"
"POINT(16.5044175695149 59.40981795583161)"
"POINT(16.501885368315182 59.35728686477314)"
"POINT(16.32071837236951 59.369615028761196)"
"POINT(16.477009924536574 59.4295717638455)"
"POINT(16.627682875241135 59.40898922745017)"
"POINT(16.630939966715815 59.37404863128171)"
"POINT(16.46404653838464 59.33987284966642)"
"POINT(16.316927189491892 59.42629673188594)"
"POINT(16.51560784711369 59.38935875281815)"
"POINT(16.47343849007729 59.38643574249077)"
"POINT(16.50147081883199 59.42346624682478)"
"POINT(16.324020702116563 59.39118622986072)"
"POINT(16.623115301816515 59.41654514145785)"
"POINT(16.550826670797655 59.399913496235826)"
"POINT(16.332235324036702 59.38776852438564)"
"POINT(16.54007533602917 59.34475121757525)"
"POINT(16.639996347543363 59.41204708301085)"
"POINT(16.590308800377144 59.39758379919158)"
"POINT(16.476582558326506 59.40631721612575)"
"POINT(16.65406621003662 59.3705528963575)"
"POINT(16.47009735894308 59.37743330464687)"
"POINT(16.544774478797823 59.423602609514425)"
"POINT(16.30749008624976 59.42064229518111)"
"POINT(16.471033096386492 59.391563927500115)"
"POINT(16.505874833614207 59.41098359872759)"
"POINT(16.52437228810647 59.34578608807821)"
"POINT(16.571512556868704 59.4239817300487)"
"POINT(16.507815771763507 59.36917046807692)"
"POINT(16.5668533506551 59.43563430322793)"
"POINT(16.326484233327182 59.3743262244424)"
"POINT(16.320055574556005 59.40336892215718)"
"POINT(16.581591934686813 59.370037744068796)"
"POINT(16.581698085279108 59.405880329905365)"
"POINT(16.438009241344577 59.393349527589486)"
"POINT(16.314284337286665 59.380667498156235)"
"POINT(16.361698005158004 59.40405104731741)"
"POINT(16.535565301246614 59.35731940964316)"
"POINT(16.56016059604127 59.353492112766936)"
"POINT(16.577512547245746 59.359371217709445)"
"POINT(16.61870253682122 59.40489515491556)"
"POINT(16.444398070166617 59.427236121829985)"
"POINT(16.652253692828552 59.37065987311029)"
"POINT(16.469284118294762 59.3755144129917)"
"POINT(16.45110187079573 59.42264983120523)"
"POINT(16.426762482322523 59.35011364163019)"
"POINT(16.609598580762036 59.4103296973165)"
"POINT(16.466869086812665 59.42061714415093)"
"POINT(16.412701059270994 59.36907940292457)"
"POINT(16.661045500337195 59.34124930572121)"
"POINT(16.49423190768891 59.340090827419864)"
"POINT(16.366878703485575 59.42947473044046)"
"POINT(16.552732858267635 59.40735433999832)"
"POINT(16.64619135112637 59.40441619407644)"
"POINT(16.613803652466963 59.40205268482902)"
"POINT(16.436090731910454 59.33522693844766)"
"POINT(16.377948560257096 59.39433971558624)"
"POINT(16.48898653668681 59.37645707865486)"
"POINT(16.618648002891057 59.428389235363724)"
"POINT(16.310621420746802 59.34879157466281)"
"POINT(16.386163783874586 59.40506893155038)"
"POINT(16.386156176384947 59.39073818725264)"
"POINT(16.434189701822323 59.42703580659756)"
"POINT(16.624598804022877 59.40029943504373)"
"POINT(16.58068482120413 59.39604230159187)"
"POINT(16.457191650967818 59.38208396642112)"
"POINT(16.493405515618345 59.37465402561783)"
"POINT(16.402938617858865 59.433329770730474)"
"POINT(16.459410568530718 59.34902429444134)"
"POINT(16.31700603825747 59.42814259476896)"
"POINT(16.421902981852895 59.33889425033238)"
"POINT(16.52547900272266 59.41677363827703)"
"POINT(16.438084727348926 59.363810294707804)"
"POINT(16.48499919077487 59.39499318184398)"
"POINT(16.51973207677932 59.371203909833945)"
"POINT(16.631834278079886 59.34707108778142)"
"POINT(16.311637617099045 59.34900503945387)"
"POINT(16.33729627475217 59.39045225528333)"
"POINT(16.650598578420123 59.356097533711896)"
"POINT(16.519280602945216 59.3852248843929)"
"POINT(16.56453499035872 59.3916516077764)"
"POINT(16.59172119192384 59.422444691244365)"
"POINT(16.635941657656097 59.39899206326992)"
"POINT(16.64120641765251 59.339322105436295)"
"POINT(16.310279601465506 59.42925013244184)"
"POINT(16.440456479106828 59.43131377193564)"
"POINT(16.65758218838843 59.435155091578956)"
"POINT(16.596053523498238 59.3519112128488)"
"POINT(16.32958474728279 59.33606462435817)"
"POINT(16.6574975628441 59.3893193208218)"
"POINT(16.383187287062547 59.35930492620143)"
"POINT(16.599781654432892 59.4241618696111)"
"POINT(16.604609683190095 59.33729834229914)"
"POINT(16.337472200920665 59.36527106089276)"
"POINT(16.33588209274618 59.4265705033032)"
"POINT(16.60987943939921 59.356954565651165)"
"POINT(16.316461184281337 59.354095326310365)"
"POINT(16.34707869317072 59.38670457827679)"
"POINT(16.473741158277566 59.38809773498672)"
"POINT(16.660804442168164 59.410072632040254)"
"POINT(16.394772459988165 59.412799208078525)"
"POINT(16.485589032359012 59.35129931592131)"
"POINT(16.54969010669873 59.43695051169084)"
"POINT(16.61132120884296 59.39031950157634)"
"POINT(16.537786194610447 59.411138535770746)"
"POINT(16.60585027629788 59.43963750829553)"
"POINT(16.57109916348053 59.40966675865929)"
"POINT(16.39386859515611 59.401465827117136)"
"POINT(16.54106699882714 59.403576621784104)"
"POINT(16.51512071333548 59.41249923628011)"
"POINT(16.304802197799084 59.38271175235413)"
"POINT(16.533627364266845 59.386171240959506)"
"POINT(16.35570192924198 59.435288006792135)"
"POINT(16.356492042906957 59.40822518954766)"
"POINT(16.6037774815938 59.40339828830295)"
"POINT(16.505874598188385 59.439035586792485)"
"POINT(16.625404693293255 59.425299802765466)"
"POINT(16.57245624349193 59.395248077933864)"
"POINT(16.31346054111741 59.340626692300276)"
"POINT(16.64747423716074 59.43491477892778)"
"POINT(16.394304241935483 59.38413631512085)"
"POINT(16.503342110297783 59.33585698765734)"
"POINT(16.534008536957188 59.346080621303145)"
"POINT(16.493886712624327 59.36352663126216)"
"POINT(16.35581629177385 59.35191017905793)"
"POINT(16.633176967435777 59.426632007368504)"
"POINT(16.467734271548835 59.38937751779599)"
"POINT(16.35581915444991 59.37053047964984)"
"POINT(16.343627616953274 59.42195542780463)"
"POINT(16.49466970132914 59.34843702966396)"
"POINT(16.399945705020183 59.40190011785362)"
"POINT(16.399240202491896 59.38858917061195)"
"POINT(16.388564883634878 59.37410466658539)"
"POINT(16.35767276397112 59.424118977088845)"
"POINT(16.458294544212663 59.402059838385746)"
"POINT(16.552909479325173 59.35442263402813)"
"POINT(16.45068283702688 59.41418661355685)"
"POINT(16.640699512680623 59.43395327433018)"
"POINT(16.650529701788205 59.34470305677643)"
"POINT(16.612947465233265 59.407760132352124)"
"POINT(16.475421294777032 59.35340619801592)"
"POINT(16.514597241212474 59.4094066938674)"
"POINT(16.58255179604259 59.37926472658874)"
"POINT(16.567839149058944 59.370674786588324)"
"POINT(16.30296660434836 59.43663708666621)"
"POINT(16.513957550995027 59.3838687630515)"
"POINT(16.447686071672496 59.426783343317055)"
"POINT(16.48013812393346 59.42171997108214)"
"POINT(16.537348716118498 59.38342130223955)"
"POINT(16.65187213272095 59.35677401662798)"
"POINT(16.452675523761418 59.397598098775475)"
"POINT(16.39267647638352 59.43829534140937)"
"POINT(16.43163914096385 59.38689366279575)"
"POINT(16.616667717393618 59.39681551955266)"
"POINT(16.310984501576986 59.36458757563721)"
"POINT(16.300693505003444 59.407748817199476)"
"POINT(16.504902093282606 59.432309262357556)"
"POINT(16.315110311190768 59.429999753414606)"
"POINT(16.55300400774293 59.41992058363327)"
"POINT(16.38449789927136 59.38309786393151)"
"POINT(16.53944750017767 59.43054200531768)"
"POINT(16.603593773037243 59.414941993485215)"
"POINT(16.42814233037535 59.41162051302253)"
"POINT(16.44017654125092 59.35727802309323)"
"POINT(16.481792131015364 59.41085517262533)"
"POINT(16.567574099012813 59.406049676811534)"
"POINT(16.569175681945744 59.33596548462287)"
"POINT(16.626823531570242 59.420442547591236)"
"POINT(16.51347051327292 59.41700574267089)"
"POINT(16.310299451282216 59.35965625682637)"
"POINT(16.443242050588562 59.42679738173521)"
"POINT(16.42559752811464 59.416984597737645)"
"POINT(16.465918957050402 59.41007874508363)"
"POINT(16.484776710980345 59.38097495102317)"
"POINT(16.5863497907321 59.33882898535499)"
"POINT(16.570187779098234 59.43262552304339)"
"POINT(16.47440153039182 59.38581097646506)"
"POINT(16.61098466664226 59.39679794026465)"
"POINT(16.567250461829147 59.3571352796224)"
"POINT(16.55403012613182 59.38205568729572)"
"POINT(16.665318621465886 59.37484311280919)"
"POINT(16.48929786841886 59.4033676872539)"
"POINT(16.323439182327935 59.39041733796718)"
"POINT(16.341861835245616 59.40531480575928)"
"POINT(16.539918616361696 59.38824589121589)"
"POINT(16.62205089984703 59.401608683880916)"
"POINT(16.47632704289384 59.35808457823847)"
"POINT(16.58753782323396 59.431964975573216)"
"POINT(16.432078847137163 59.43277391655841)"
"POINT(16.661355874133974 59.428139974083535)"
"POINT(16.324459999224977 59.353172347343026)"
"POINT(16.474931999579965 59.35022656974845)"
"POINT(16.481586961708498 59.39734078142744)"
"POINT(16.585495485049627 59.410293192780934)"
"POINT(16.658441761807303 59.431251605301284)"
"POINT(16.32791268878608 59.41885717223256)"
"POINT(16.55921809562316 59.34222466180917)"
"POINT(16.393480014474484 59.41994926713496)"
"POINT(16.651105665613905 59.398193883933345)"
"POINT(16.55872654896435 59.42740378244167)"
"POINT(16.59659154286725 59.37512889792773)"
"POINT(16.338864831381507 59.396398601686585)"
"POINT(16.308500213401555 59.34140203048292)"
"POINT(16.497202404379237 59.41404375201825)"
"POINT(16.34440289497272 59.4356560373235)"
"POINT(16.46875026869443 59.43323093885179)"
"POINT(16.590341236734155 59.40942114590962)"
"POINT(16.484771390323004 59.40629200464752)"
"POINT(16.58199376293345 59.42298984505078)"
"POINT(16.440172159936008 59.43099144934313)"
"POINT(16.556201707016026 59.34564741957736)"
"POINT(16.55248540798725 59.43518598156397)"
"POINT(16.45603654670401 59.351497314139785)"
"POINT(16.56335618558999 59.37605136687283)"
"POINT(16.37055575206506 59.364174594541694)"
"POINT(16.51197617387098 59.38066107270557)"
"POINT(16.463597101248283 59.35170944146768)"
"POINT(16.636960333504533 59.4251820606573)"
"POINT(16.496027930377 59.36802114929241)"
"POINT(16.326479950383053 59.38523092385286)"
"POINT(16.505112233030484 59.34485459526912)"
"POINT(16.446315421989492 59.39050232178328)"
"POINT(16.653682479412243 59.361049515519376)"
"POINT(16.41002130704416 59.42214563424339)"
"POINT(16.360173569124143 59.409394760971985)"
"POINT(16.31480402957339 59.41137659373528)"
"POINT(16.432645635755694 59.379206687281226)"
"POINT(16.45169525146362 59.39439144565462)"
"POINT(16.473341699959285 59.353333953355026)"
"POINT(16.35601944004675 59.35280445256099)"
"POINT(16.507242571356826 59.36513740988192)"
"POINT(16.38493925469546 59.427360382815884)"
"POINT(16.489570208685535 59.34388052647873)"
"POINT(16.64841837772013 59.38080569917305)"
"POINT(16.652215250770197 59.401750754237824)"
"POINT(16.595347081200092 59.359507000455295)"
"POINT(16.495137019279593 59.3553975818863)"
"POINT(16.4243211017381 59.39892446121927)"
"POINT(16.371242001876745 59.35457212623427)"
"POINT(16.38986336438631 59.408976422212305)"
"POINT(16.4031168938653 59.38728972792978)"
"POINT(16.51874288792128 59.376165085743146)"
"POINT(16.485012221811267 59.434552798095815)"
"POINT(16.308452922494546 59.380352848777825)"
"POINT(16.50129160173382 59.41745787924649)"
"POINT(16.598957358774065 59.357008015321924)"
"POINT(16.57451717200152 59.378991390738435)"
"POINT(16.52198889964707 59.35593567939411)"
"POINT(16.441575354141793 59.41112784312909)"
"POINT(16.47142990528937 59.439974125990005)"
"POINT(16.431456561603717 59.37239989374876)"
"POINT(16.405619080070334 59.42659709560399)"
"POINT(16.36978337257261 59.389553881123526)"
"POINT(16.594719681755308 59.39770910829115)"
"POINT(16.37435359834656 59.35981242884054)"
"POINT(16.30831032070538 59.39091103101002)"
"POINT(16.654732610189107 59.42350675482383)"
"POINT(16.498733470338134 59.43433511144236)"
"POINT(16.333729209619182 59.382336230803006)"
"POINT(16.648089645333176 59.41394372539773)"
"POINT(16.65850485420445 59.349060967914134)"
"POINT(16.433164581701167 59.435048580626976)"
"POINT(16.487281679770277 59.42424674809455)"
"POINT(16.609438510679777 59.38229442832916)"
