"geometry"
"POINT(16.490935510114376 59.36835666193741)"
"POINT(16.48738412974166 59.36530768553502)"
"POINT(16.49289810651529 59.37234693056702)"
"POINT(16.488166969607853 59.374981512650464)"
"POINT(16.4855136518133 59.371631110082404)"
"POINT(16.494194554862794 59.36622521483755)"
"POINT(16.490232949611233 59.36973529465156)"
"POINT(16.49332409209776 59.365433935253094)"
"POINT(16.491225262514423 59.36427769042184)"
"POINT(16.489010745485725 59.369118073750414)"
"POINT(16.493740450655718 59.363820879911984)"
"POINT(16.48674358320593 59.366715840817506)"
"POINT(16.488814422259818 59.36952149291604)"
"POINT(16.49037003249525 59.36964784344956)"
"POINT(16.490059217669586 59.37298312002694)"
"POINT(16.491211500776366 59.36794653587486)"
"POINT(16.491394083047386 59.36440799153243)"
"POINT(16.484390576054523 59.36572653357338)"
"POINT(16.491363030056675 59.372060406241815)"
"POINT(16.49134415376503 59.37374972574295)"
"POINT(16.487287668462265 59.369604579317304)"
"POINT(16.490230454949106 59.374245178328344)"
"POINT(16.486882912859326 59.36998741466448)"
"POINT(16.48547176867729 59.37607519997468)"
"POINT(16.48670031524022 59.368692564422645)"
"POINT(16.495012107236036 59.36804023514417)"
"POINT(16.489778028306976 59.369904630038484)"
"POINT(16.4931420300336 59.37129872737159)"
"POINT(16.48486984055567 59.376133183858215)"
"POINT(16.493311968324246 59.36476010294199)"
"POINT(16.48748461163626 59.370390995055985)"
"POINT(16.485252206207058 59.3701031956433)"
"POINT(16.491357923827685 59.36362152503077)"
"POINT(16.494453631232357 59.37153411450705)"
"POINT(16.48343258247493 59.376139314572384)"
"POINT(16.48908570128432 59.37455283534545)"
"POINT(16.49487876365987 59.37188714398012)"
"POINT(16.486431275067392 59.37269084034036)"
"POINT(16.488574410872054 59.372264257084616)"
"POINT(16.488846084942537 59.36950671702116)"
"POINT(16.487892403430976 59.36739276823688)"
"POINT(16.485126223488663 59.369011896076636)"
"POINT(16.49570022427033 59.36546617707595)"
"POINT(16.49226499041542 59.37134492254561)"
"POINT(16.484133316101403 59.37653125109903)"
"POINT(16.492562769043342 59.371319976251826)"
"POINT(16.488401025747585 59.37084797044441)"
"POINT(16.491557231113262 59.36579320632217)"
"POINT(16.490887353570216 59.36853441973771)"
"POINT(16.494963024470948 59.36594001012754)"
"POINT(16.4875684741364 59.36599468618146)"
"POINT(16.487544695602605 59.36604696942814)"
"POINT(16.497071345733943 59.364357397088945)"
"POINT(16.49053758614681 59.37411885360845)"
"POINT(16.494949713958654 59.36901523005551)"
"POINT(16.491785910631968 59.37210153364357)"
"POINT(16.48543611701197 59.36783719532423)"
"POINT(16.494512544754137 59.36620651057914)"
"POINT(16.494980399731684 59.36563073662674)"
"POINT(16.489664590320277 59.36679852487559)"
"POINT(16.494350052053985 59.36681651757982)"
"POINT(16.490673903222532 59.37102293954422)"
"POINT(16.490563886212854 59.36799339046811)"
"POINT(16.486311943983868 59.36991105470451)"
"POINT(16.49411390269836 59.37107198164967)"
"POINT(16.491531994658814 59.370680891422104)"
"POINT(16.487821784630476 59.36866088285803)"
"POINT(16.49248280509972 59.3681508973671)"
"POINT(16.493667137505405 59.372107051775586)"
"POINT(16.488175768181286 59.368047881610245)"
"POINT(16.49096729319102 59.3670414835662)"
"POINT(16.489803913586847 59.36706903603632)"
"POINT(16.48968932049295 59.369605583777165)"
"POINT(16.48537586137451 59.36635099317302)"
"POINT(16.48701502429993 59.3719270857906)"
"POINT(16.484506161620118 59.36556870165472)"
"POINT(16.484674106081208 59.375375240582486)"
"POINT(16.487594435787447 59.37615552293956)"
"POINT(16.490117116067356 59.36648500506547)"
"POINT(16.48590179126774 59.37631820196588)"
"POINT(16.489298741047797 59.365456588107605)"
"POINT(16.491140834712215 59.37027736462014)"
"POINT(16.49347202760382 59.36805637458626)"
"POINT(16.494064641019037 59.36634147570675)"
"POINT(16.489492506986238 59.37078339794679)"
"POINT(16.490908558798413 59.371766837986605)"
"POINT(16.48837130072778 59.36871976409443)"
"POINT(16.48737233802412 59.36490207071283)"
"POINT(16.49111722794035 59.370615247698474)"
"POINT(16.494909093041578 59.363716383434216)"
"POINT(16.487767746756752 59.36632169735775)"
"POINT(16.48725240575635 59.36888160331797)"
"POINT(16.486537155135935 59.3667609066792)"
"POINT(16.49198176187938 59.36350529236048)"
"POINT(16.486784364089484 59.37604360071552)"
"POINT(16.49241857057707 59.36713198127094)"
"POINT(16.4910032682071 59.37260035239776)"
"POINT(16.487048078691817 59.375801780779646)"
"POINT(16.49141810559567 59.36928640315224)"
"POINT(16.491263900527628 59.37058616783968)"
"POINT(16.492719694348416 59.36844948123457)"
"POINT(16.488435610303696 59.36981357584509)"
"POINT(16.492719391037024 59.37263183002763)"
"POINT(16.49261146277191 59.36752120923699)"
"POINT(16.489849302367915 59.36385502611099)"
"POINT(16.486075981889243 59.37591129026216)"
"POINT(16.49390228406851 59.36392554633526)"
"POINT(16.486040113041405 59.36761583685958)"
"POINT(16.485857171985554 59.36570917563804)"
"POINT(16.491166200144704 59.36640825933087)"
"POINT(16.489621007185384 59.36720673843322)"
"POINT(16.490685580555045 59.371009883520095)"
"POINT(16.484061153127573 59.36549115064626)"
"POINT(16.49362448164287 59.366653434722295)"
"POINT(16.4885692859521 59.36580322536913)"
"POINT(16.49459771380715 59.36369483222254)"
"POINT(16.485329306760242 59.36672930676348)"
"POINT(16.49288912603868 59.37208166367196)"
"POINT(16.49100706625405 59.36908743587025)"
"POINT(16.491827562163852 59.3680465660743)"
"POINT(16.493426670753923 59.36497394203955)"
"POINT(16.485914238059543 59.372612098189585)"
"POINT(16.492273644439027 59.36819254557315)"
"POINT(16.488830141343012 59.372648387771946)"
"POINT(16.485763726868758 59.37526190375002)"
"POINT(16.494105540708837 59.37221279808138)"
"POINT(16.49372346824963 59.36726316965401)"
"POINT(16.486907296727676 59.3749440929339)"
"POINT(16.487609724882482 59.37183022364571)"
"POINT(16.492465791551123 59.3664069407537)"
"POINT(16.48618710235291 59.37006437884979)"
"POINT(16.487485874655572 59.36630687677471)"
"POINT(16.490012331864158 59.36980869155638)"
"POINT(16.49107990886992 59.36790563696928)"
"POINT(16.494169968539378 59.36960829964764)"
"POINT(16.4933559094469 59.36514359907966)"
"POINT(16.484780458690405 59.37101488251492)"
"POINT(16.49202238455026 59.367518414724685)"
"POINT(16.492958188322067 59.364382519496345)"
"POINT(16.49364589990763 59.36793719283006)"
"POINT(16.48954152406125 59.37202004366513)"
"POINT(16.49487801595916 59.36684280131354)"
"POINT(16.486499864798063 59.36735268356028)"
"POINT(16.486481080030863 59.371627853356365)"
"POINT(16.486027875994747 59.375849225202394)"
"POINT(16.491130921925063 59.37351690856224)"
"POINT(16.489481162530673 59.36643734761548)"
"POINT(16.487764981716705 59.37613150974867)"
"POINT(16.488252163086734 59.373207051665425)"
"POINT(16.486852143561503 59.36628143432492)"
"POINT(16.486334146835052 59.375603838079805)"
"POINT(16.49223844798203 59.36971257462938)"
"POINT(16.48657525057515 59.366668429527905)"
"POINT(16.489796614206806 59.36963942956629)"
"POINT(16.486412615669533 59.37177647461326)"
"POINT(16.488450630291382 59.37116697993518)"
"POINT(16.488559930402552 59.36813156302376)"
"POINT(16.48910345981093 59.36591575607193)"
"POINT(16.488731316344396 59.36420793556379)"
"POINT(16.485780168198247 59.3750689159256)"
"POINT(16.491342603703 59.366966538864624)"
"POINT(16.48719929607199 59.374686028402515)"
"POINT(16.48974945651669 59.36554940793022)"
"POINT(16.491673304627586 59.36602549494665)"
"POINT(16.488198564593674 59.366629077341535)"
"POINT(16.49017136454113 59.37121395956724)"
"POINT(16.48443419676788 59.365740491690126)"
"POINT(16.4883797083176 59.373319950842365)"
"POINT(16.492310016844577 59.36852940387869)"
"POINT(16.492004514934262 59.372319468303346)"
"POINT(16.48660388681711 59.369972361613705)"
"POINT(16.490491421961934 59.36718142432693)"
"POINT(16.49196220383943 59.37090266898064)"
"POINT(16.48448466458983 59.37558283504434)"
"POINT(16.48633369032634 59.37494602254503)"
"POINT(16.485111698569444 59.371050424042146)"
"POINT(16.491817094460462 59.366072952960536)"
"POINT(16.494868745077373 59.371608163259864)"
"POINT(16.49215333175843 59.3673767035549)"
"POINT(16.491441187863526 59.365055021924874)"
"POINT(16.490755316203515 59.366155882937626)"
"POINT(16.49428404474557 59.36915630300489)"
"POINT(16.486157618947285 59.37121983276524)"
"POINT(16.492260175127893 59.36978530027746)"
"POINT(16.488103559871824 59.37224972162671)"
"POINT(16.48414832557301 59.36647065986208)"
"POINT(16.48460919230968 59.367161320838726)"
"POINT(16.48940459979758 59.37158854800196)"
"POINT(16.488207005649997 59.37219016699114)"
"POINT(16.494888283677987 59.369305793720386)"
"POINT(16.49447110383462 59.36841657511826)"
"POINT(16.49019249805089 59.373200039700095)"
"POINT(16.492629233439924 59.36414478081135)"
"POINT(16.488545259187482 59.37137909967183)"
"POINT(16.487540276704838 59.3659442069254)"
"POINT(16.48869972076483 59.37310650558845)"
"POINT(16.493584225182527 59.36413650598769)"
"POINT(16.494635578179295 59.36649273086253)"
"POINT(16.491868044259437 59.364127970905145)"
"POINT(16.496945759147756 59.36453434227745)"
"POINT(16.488537963819937 59.37439902201766)"
"POINT(16.48577732146062 59.37539058211062)"
"POINT(16.49159444522358 59.36361200328103)"
"POINT(16.48847442840829 59.37554980933905)"
"POINT(16.49365380131364 59.368588477275004)"
"POINT(16.49292445385609 59.36507435639885)"
"POINT(16.48815897668186 59.375819224409994)"
"POINT(16.490886367249498 59.36685616377403)"
"POINT(16.486726373250075 59.375865174800815)"
"POINT(16.491000269277777 59.36902308032923)"
"POINT(16.487355906560367 59.36593953631451)"
"POINT(16.48628656252838 59.375182998658275)"
"POINT(16.488701388329876 59.36775517031995)"
"POINT(16.489474169762683 59.36880914685281)"
"POINT(16.48670256214508 59.3752176789011)"
"POINT(16.4935022155253 59.36783695334048)"
"POINT(16.488212701953383 59.36583176467968)"
"POINT(16.491361402237015 59.365425424893274)"
"POINT(16.493969921631553 59.36506353441244)"
"POINT(16.48812754496276 59.371090251334806)"
"POINT(16.492000228130042 59.372678314194545)"
"POINT(16.49250627755545 59.36636305775779)"
"POINT(16.49140043965591 59.372581900595975)"
"POINT(16.496388369013467 59.36556071762671)"
"POINT(16.489150413638438 59.37496857418845)"
"POINT(16.48869156026497 59.37401108993427)"
"POINT(16.492831108001422 59.36659743136021)"
"POINT(16.48970411950495 59.36634794561715)"
"POINT(16.491733949146692 59.36597322870128)"
"POINT(16.485234249002257 59.37515950821361)"
"POINT(16.48660139485975 59.37492766939059)"
"POINT(16.49269152908631 59.372227741021035)"
"POINT(16.489211124319713 59.36721007584281)"
"POINT(16.490236292290067 59.368436675065034)"
"POINT(16.49246300564505 59.3654505030966)"
"POINT(16.490073122062046 59.374659162979555)"
"POINT(16.49131636809028 59.36576202016817)"
"POINT(16.487740098800657 59.36746034890192)"
"POINT(16.495077142133514 59.37190238583111)"
"POINT(16.490446251226096 59.37274694045642)"
"POINT(16.488197370642688 59.36618495975399)"
"POINT(16.49124933932197 59.370781136481675)"
"POINT(16.493042799088364 59.36943590293381)"
"POINT(16.488677133751374 59.37142553374356)"
"POINT(16.49443346211929 59.36909471638165)"
"POINT(16.4911313233947 59.373979960317364)"
"POINT(16.48314147994258 59.375824551580095)"
"POINT(16.487848791200115 59.36967754681554)"
"POINT(16.49283616259511 59.37076461612883)"
"POINT(16.55596117869108 59.376257029790445)"
"POINT(16.55464117152894 59.38074317534112)"
"POINT(16.55465751016468 59.37607090225661)"
"POINT(16.55350257652986 59.38078405307176)"
"POINT(16.556522428186856 59.37689751937598)"
"POINT(16.54121808134631 59.38002362510574)"
"POINT(16.542448090289085 59.378627400698896)"
"POINT(16.56412578983573 59.37927290707931)"
"POINT(16.53660033110003 59.37641495854413)"
"POINT(16.550201501791292 59.38106112877711)"
"POINT(16.549352872765347 59.38182392572695)"
"POINT(16.55233150997621 59.374199022123015)"
"POINT(16.555394776172452 59.38164710469551)"
"POINT(16.562384651996734 59.378222464629424)"
"POINT(16.554274134611212 59.38024505952783)"
"POINT(16.561649121113117 59.379512737806905)"
"POINT(16.548839179767747 59.380555268011804)"
"POINT(16.546805349485457 59.37733283307368)"
"POINT(16.54620521528536 59.38035774648863)"
"POINT(16.547249122027107 59.3759079609712)"
"POINT(16.549095051752015 59.37649932822864)"
"POINT(16.552440061450856 59.37573792017758)"
"POINT(16.54407119519784 59.377916448600416)"
"POINT(16.54665969279437 59.381499230552784)"
"POINT(16.55055458802602 59.37378195755957)"
"POINT(16.54504079452099 59.37475554365039)"
"POINT(16.533523657703114 59.375383707048805)"
"POINT(16.554651435760192 59.3769920854496)"
"POINT(16.55246136398851 59.379486306544)"
"POINT(16.557938545082045 59.378231937410625)"
"POINT(16.5514372996007 59.377463012917396)"
"POINT(16.56273226914744 59.380103150556856)"
"POINT(16.557676681189296 59.381020012596515)"
"POINT(16.5556298416358 59.38083733008125)"
"POINT(16.540486389906825 59.3807292246195)"
"POINT(16.550172311672245 59.37457275816229)"
"POINT(16.55651549685063 59.379029601201175)"
"POINT(16.550100545807112 59.37519879807715)"
"POINT(16.538384798662598 59.37929115213272)"
"POINT(16.544927097092554 59.37760048544613)"
"POINT(16.534420537730863 59.37649126836367)"
"POINT(16.534354097908484 59.37694758136265)"
"POINT(16.550276116642568 59.37863008147496)"
"POINT(16.55024253150387 59.37654684596575)"
"POINT(16.5568440497804 59.37546905042364)"
"POINT(16.538386598795192 59.377989884879476)"
"POINT(16.55075669316376 59.379898273552044)"
"POINT(16.54450552308685 59.37439208419927)"
"POINT(16.54070932633149 59.380300988256174)"
"POINT(16.534895955609727 59.37585367220364)"
"POINT(16.567788311855725 59.37988907095822)"
"POINT(16.55050010073522 59.377577631906284)"
"POINT(16.550304484971342 59.37794586668338)"
"POINT(16.559682513096984 59.37792701695937)"
"POINT(16.556182171927233 59.37698831480133)"
"POINT(16.550200671082457 59.37927902524792)"
"POINT(16.558092501779754 59.380380649457784)"
"POINT(16.556766204162408 59.37948202827573)"
"POINT(16.533911377377358 59.37567193112593)"
"POINT(16.54216141590545 59.37903898026195)"
"POINT(16.536075754128607 59.377196544410005)"
"POINT(16.559009019458916 59.37574965961546)"
"POINT(16.542278009505633 59.379248063922)"
"POINT(16.548030328857298 59.37640802122327)"
"POINT(16.552150733047114 59.37742446406839)"
"POINT(16.547671911960713 59.382451740600956)"
"POINT(16.539391719411835 59.38034602083119)"
"POINT(16.542800977581642 59.38182503053726)"
"POINT(16.555980715400942 59.373594519671705)"
"POINT(16.54553534227216 59.37854755949019)"
"POINT(16.566112025671554 59.37961710451722)"
"POINT(16.54100361027432 59.38232359939178)"
"POINT(16.55211741877726 59.375978215324025)"
"POINT(16.55429758034634 59.376674459426845)"
"POINT(16.54364069063959 59.37877309305375)"
"POINT(16.558712108208624 59.379255779699804)"
"POINT(16.544805921539893 59.377433075309824)"
"POINT(16.54360512972887 59.37714845407609)"
"POINT(16.544916900447106 59.37904257625231)"
"POINT(16.555587146164505 59.37833618670005)"
"POINT(16.540982223990895 59.379989054401335)"
"POINT(16.534357505354166 59.376435180080975)"
"POINT(16.55233452182079 59.37928237794688)"
"POINT(16.546826371122577 59.375900186771204)"
"POINT(16.540128548405416 59.37838644850719)"
"POINT(16.539902631254193 59.380754581345684)"
"POINT(16.55397488147545 59.37935734736945)"
"POINT(16.54147401736472 59.38276370382676)"
"POINT(16.535386475845964 59.37670797262197)"
"POINT(16.550619927077562 59.38119879709593)"
"POINT(16.556573315114242 59.37942004078026)"
"POINT(16.54666631271926 59.37825485103748)"
"POINT(16.54657598733389 59.38078263240426)"
"POINT(16.53402659970799 59.37588122074761)"
"POINT(16.550346520536316 59.375015690129075)"
"POINT(16.54047877609541 59.378400034130564)"
"POINT(16.562653874328923 59.38046846140658)"
"POINT(16.56384010333851 59.37811172183475)"
"POINT(16.559629384771746 59.37991682057455)"
"POINT(16.56181383742472 59.376545498832364)"
"POINT(16.552377975715306 59.374206442400244)"
"POINT(16.56100403866048 59.376803889594576)"
"POINT(16.551008528627094 59.37598604525976)"
"POINT(16.549729602095244 59.3802565033654)"
"POINT(16.556807475524558 59.378660950228365)"
"POINT(16.54688065019578 59.374593138963675)"
"POINT(16.548869989917254 59.37984910517541)"
"POINT(16.547532935983313 59.37474776570374)"
"POINT(16.54628694553016 59.38061112529533)"
"POINT(16.54889219693483 59.37466806872318)"
"POINT(16.539631677962657 59.37923546077013)"
"POINT(16.555432547330486 59.37737571106238)"
"POINT(16.543599295360078 59.37817936298087)"
"POINT(16.538957999660735 59.37934051028294)"
"POINT(16.55831361372388 59.3807294463463)"
"POINT(16.543823721837644 59.38186888006963)"
"POINT(16.54470940252181 59.37843067773174)"
"POINT(16.55750717897434 59.375210318723106)"
"POINT(16.56009847164101 59.376056836281904)"
"POINT(16.555507946928483 59.373179471885756)"
"POINT(16.53681439995222 59.37484391743352)"
"POINT(16.558464972523254 59.375862001305805)"
"POINT(16.551067490129082 59.37998893998843)"
"POINT(16.551837041832343 59.37462628909086)"
"POINT(16.554919249690627 59.37680066639051)"
"POINT(16.54044748636072 59.37645055425274)"
"POINT(16.545581113545765 59.37923888920528)"
"POINT(16.556514902163677 59.38131805896018)"
"POINT(16.56536795528506 59.380083123907426)"
"POINT(16.562427486797556 59.377159756887416)"
"POINT(16.546359817378686 59.38003532229664)"
"POINT(16.535773547710274 59.37674159825619)"
"POINT(16.553967025537606 59.37409703915814)"
"POINT(16.547845573988496 59.379510885162475)"
"POINT(16.543926552180395 59.375461817719426)"
"POINT(16.544536070991967 59.3820328858879)"
"POINT(16.545346080658693 59.38148780588008)"
"POINT(16.540676688703268 59.3763570720498)"
"POINT(16.538143068698645 59.37658352570547)"
"POINT(16.55841472951019 59.38012222307831)"
"POINT(16.539572319159213 59.38117597730075)"
"POINT(16.551895235705473 59.37369914525009)"
"POINT(16.550303629768404 59.377589239882305)"
"POINT(16.544921944696206 59.3761837009635)"
"POINT(16.535492832928966 59.3760739015336)"
"POINT(16.559413618077134 59.37744308102703)"
"POINT(16.555391905581956 59.37950991665429)"
"POINT(16.56625379831589 59.380063285966536)"
"POINT(16.560332737786787 59.38113502900386)"
"POINT(16.560894764254964 59.378794299797086)"
"POINT(16.55387116369446 59.37573220712916)"
"POINT(16.54117263206189 59.38183264339385)"
"POINT(16.544339390207835 59.37810717849788)"
"POINT(16.555013420599547 59.3728447443031)"
"POINT(16.554103207210648 59.37715955497861)"
"POINT(16.550549476589744 59.377444030021636)"
"POINT(16.542299003789537 59.382212466345784)"
"POINT(16.56764857687722 59.38005712574905)"
"POINT(16.540285559575572 59.374425738193736)"
"POINT(16.541835925823158 59.38186803292174)"
"POINT(16.544035180317852 59.37727329364084)"
"POINT(16.55034797556568 59.374127132849665)"
"POINT(16.54601574492589 59.379447053320625)"
"POINT(16.55889836208394 59.37604045933053)"
"POINT(16.55190429611524 59.3817746362201)"
"POINT(16.545515671032774 59.3811321822577)"
"POINT(16.547284203153836 59.38228334594524)"
"POINT(16.55406397621358 59.375329937399236)"
"POINT(16.54914410666482 59.38105891398229)"
"POINT(16.558899605749875 59.37883918781505)"
"POINT(16.556548524045812 59.376297291228724)"
"POINT(16.545520993584205 59.376575160727)"
"POINT(16.544292877859316 59.37583719328805)"
"POINT(16.53829465963667 59.37995989562553)"
"POINT(16.547585236973266 59.37500055764662)"
"POINT(16.53372716937377 59.37580455509864)"
"POINT(16.54685761048209 59.37817449442268)"
"POINT(16.540134213569168 59.37691887974544)"
"POINT(16.537695641206618 59.376677260289995)"
"POINT(16.545256549905467 59.37499530297776)"
"POINT(16.54267999725444 59.37670060315283)"
"POINT(16.544945620728836 59.37583663675666)"
"POINT(16.54397847053077 59.38281228115167)"
"POINT(16.536862469876397 59.37583118709762)"
"POINT(16.558442582109787 59.37716518428181)"
"POINT(16.554266770291377 59.37885502687521)"
"POINT(16.55847847633775 59.37999483478759)"
"POINT(16.551931272120747 59.373742678830894)"
"POINT(16.55091705281704 59.37536200505678)"
"POINT(16.546456266784563 59.377771720742224)"
"POINT(16.545418910818906 59.38064871090223)"
"POINT(16.552861044368996 59.378661714892665)"
"POINT(16.566778513962102 59.37958278444203)"
"POINT(16.554677076903527 59.3766991568915)"
"POINT(16.540967162918424 59.381839525738776)"
"POINT(16.554848044364107 59.375029284468084)"
"POINT(16.544732178013653 59.378028391705094)"
"POINT(16.5528671087893 59.37976913900256)"
"POINT(16.56101877573477 59.378522208959374)"
"POINT(16.54846334696785 59.38192199666192)"
"POINT(16.54251485451799 59.38008054389133)"
"POINT(16.54134906998712 59.38092811236468)"
"POINT(16.555833911937533 59.37955096269105)"
"POINT(16.5370646548471 59.374846577628496)"
"POINT(16.549560857711754 59.37740227508814)"
"POINT(16.546047002261876 59.37789902421412)"
"POINT(16.540340613929793 59.37560634189669)"
"POINT(16.555289232016694 59.38100761132945)"
"POINT(16.535064206531995 59.37503148444158)"
"POINT(16.54484127319732 59.38033039175152)"
"POINT(16.566353295326913 59.378831638770784)"
"POINT(16.54193550335529 59.38166270995206)"
"POINT(16.539783888853666 59.378210115168784)"
"POINT(16.536429018444625 59.377959183433376)"
"POINT(16.54168446168907 59.377011307643194)"
"POINT(16.54618436656565 59.37554861638246)"
"POINT(16.55177127281818 59.37982747187134)"
"POINT(16.54846741444656 59.37927956953278)"
"POINT(16.53620411662294 59.37704021328602)"
"POINT(16.55467914374875 59.378335278503215)"
"POINT(16.545835379785565 59.38262792604066)"
"POINT(16.550609030084296 59.37667107972606)"
"POINT(16.547659516934043 59.38034038521711)"
"POINT(16.554359108442036 59.37660490850341)"
"POINT(16.542100515025613 59.381126876317325)"
"POINT(16.563820080860577 59.37940243041057)"
"POINT(16.53903129782763 59.374581524101266)"
"POINT(16.54425262986209 59.3792321268216)"
"POINT(16.535298985947918 59.376463472150334)"
"POINT(16.54130695555445 59.38001946712474)"
"POINT(16.54392739513895 59.37603498841161)"
"POINT(16.551428082479326 59.3777166112961)"
"POINT(16.53662175116372 59.37726028439742)"
"POINT(16.545657973111435 59.37849311855421)"
"POINT(16.550065224305307 59.38046691315969)"
"POINT(16.565141259303594 59.378485866578885)"
"POINT(16.540791440440316 59.38235991803558)"
"POINT(16.549651623133467 59.373418958705)"
"POINT(16.560247329122564 59.379101268098566)"
"POINT(16.555433856991076 59.37390881379243)"
"POINT(16.53626360905403 59.37774463403058)"
"POINT(16.543623800502218 59.38144644091969)"
"POINT(16.5443848692777 59.3825238071094)"
"POINT(16.546768766073335 59.37818137147792)"
"POINT(16.54080577057228 59.38221313250714)"
"POINT(16.533049599340792 59.37614839782728)"
"POINT(16.550910075292173 59.376326287117024)"
"POINT(16.562030746250837 59.37697225137024)"
"POINT(16.545109431182897 59.3767710195466)"
"POINT(16.544792920915636 59.378350518370596)"
"POINT(16.543603325586908 59.382275059340245)"
"POINT(16.540584262331844 59.37567808239462)"
"POINT(16.564506902420117 59.379642729095586)"
"POINT(16.546777175826186 59.38176956896452)"
"POINT(16.553660576918098 59.3791195067154)"
"POINT(16.55687288806741 59.37610346038307)"
"POINT(16.539531516368505 59.379006456282134)"
"POINT(16.555997096355863 59.378502679990525)"
"POINT(16.550669735762636 59.37701373005433)"
"POINT(16.554981334166932 59.376985763160555)"
"POINT(16.543811134260512 59.37736014076209)"
"POINT(16.55367578035535 59.372912839423925)"
"POINT(16.553351123610078 59.374789698226294)"
"POINT(16.556653505263224 59.379978428751485)"
"POINT(16.555824373752625 59.37860006348451)"
"POINT(16.543415508815418 59.37444602111289)"
"POINT(16.541205810611586 59.37616822454968)"
"POINT(16.551052637187343 59.37969689657302)"
"POINT(16.545506814803133 59.38041134309253)"
"POINT(16.55978942946378 59.38044715380537)"
"POINT(16.5551798631658 59.381784345903206)"
"POINT(16.543849602243593 59.37508000592338)"
"POINT(16.55948563158408 59.37890014927605)"
"POINT(16.554737176156454 59.37283105471469)"
"POINT(16.56190481873346 59.37854509608268)"
"POINT(16.53955059644236 59.38111846020147)"
"POINT(16.54833690567567 59.37911465420081)"
"POINT(16.55134019405264 59.38054378873539)"
"POINT(16.549925463588124 59.375293486163955)"
"POINT(16.541978012295782 59.37964662230499)"
"POINT(16.540182810806904 59.38017718688109)"
"POINT(16.540014562862105 59.37747959003851)"
"POINT(16.547060639175676 59.374520871537904)"
"POINT(16.55027052329207 59.38126175477285)"
"POINT(16.544594604132236 59.378478415316884)"
"POINT(16.55047087799345 59.37588734416628)"
"POINT(16.555005831393967 59.372983055897556)"
"POINT(16.54754307722507 59.37627770538402)"
"POINT(16.549355824046465 59.3754613590563)"
"POINT(16.543313321832784 59.37443997924536)"
"POINT(16.538880191540652 59.37815608428817)"
"POINT(16.559624047729393 59.37771972989725)"
"POINT(16.561827794958376 59.37961203965148)"
"POINT(16.555336204704965 59.37290279296579)"
"POINT(16.549924508208097 59.37860525544685)"
"POINT(16.553450295014503 59.374597413197655)"
"POINT(16.538762370591968 59.37679461949638)"
"POINT(16.56223729247859 59.37915607961252)"
"POINT(16.535181322253393 59.375455585685216)"
"POINT(16.554574286493914 59.37629996089744)"
"POINT(16.48778454304777 59.405674559791464)"
"POINT(16.486282763634318 59.403882410699296)"
"POINT(16.489832244811282 59.404822372596)"
"POINT(16.481908961211765 59.4027937357004)"
"POINT(16.489445382717445 59.40402594020073)"
"POINT(16.48600293779737 59.40310782078196)"
"POINT(16.497023381029106 59.40476904265595)"
